task,string_square_sequence,program,new_solved,distinct_programs,most_frequent_program,abs_count,task_freq,rel_count
15,625242332344,[{'sR2{f}': 1}],1,1.0,sR2{f},1.0,34.0,0.029411764705882353
15,625242332344342414,[{'W!b{s}': 1}],1,1.0,W!b{s},1.0,34.0,0.029411764705882353
15,625242332353,[{'sR2{f}': 1}],1,1.0,sR2{f},1.0,34.0,0.029411764705882353
15,625243514132443425,[{'W!b{sr}': 1}],1,1.0,W!b{sr},1.0,34.0,0.029411764705882353
15,6252435141325343514233233223443425,[{'R10{sr}': 1}],1,1.0,R10{sr},1.0,34.0,0.029411764705882353
15,625321,[{'r': 1}],1,1.0,r,1.0,34.0,0.029411764705882353
15,62532110,[{'rlf': 1}],1,1.0,rlf,1.0,34.0,0.029411764705882353
15,62532111,[{'rf': 1}],1,1.0,rf,1.0,34.0,0.029411764705882353
15,6253211101,[{'rR10{s}': 1}],1,1.0,rR10{s},1.0,34.0,0.029411764705882353
15,62532112,[{'Wx!=4{r}': 1}],1,1.0,Wx!=4{r},1.0,34.0,0.029411764705882353
15,625344,"[{'Wx!=5{r}': 1, 'r': 1}]",2,2.0,Wx!=5{r},2.0,34.0,0.058823529411764705
15,62534435,"[{'R2{r}': 1, 'rr': 1}]",2,2.0,R2{r},2.0,34.0,0.058823529411764705
16,113,"[{'W!b{Iy{l}/{rW!y{f}}}': 1, nan: 3, 'R2{llrr}': 1, 'I!g{l}/{R2{s}}r': 1}]",6,4.0,?,6.0,20.0,0.3
16,113102,"[{'I!k{l}/{rf}': 1, 'Iy{l}/{}': 1}]",2,2.0,I!k{l}/{rf},2.0,20.0,0.1
16,11310291,[{'W!b{Iy{l}/{}}': 1}],1,1.0,W!b{Iy{l}/{}},1.0,20.0,0.05
16,1131029182,[{'Wy{l}r': 1}],1,1.0,Wy{l}r,1.0,20.0,0.05
16,1131029182716251423122,[{'R9{Ix=2{r}/{l}}': 1}],1,1.0,R9{Ix=2{r}/{l}},1.0,20.0,0.05
16,11310291827162514231221102,[{'W!b{Ix=2{r}/{l}}': 1}],1,1.0,W!b{Ix=2{r}/{l}},1.0,20.0,0.05
16,113102918273625140312211,[{'R10{Iy{l}/{r}}': 2}],2,1.0,R10{Iy{l}/{r}},2.0,20.0,0.1
16,1131029282,[{'R2{Iy{l}f}': 1}],1,1.0,R2{Iy{l}f},1.0,20.0,0.05
16,11310292827262514131211100-10,[{'W!b{Iy{l}f}': 1}],1,1.0,W!b{Iy{l}f},1.0,20.0,0.05
16,113102938475,[{'Wx!=2{lWx!=2{r}}': 1}],1,1.0,Wx!=2{lWx!=2{r}},1.0,20.0,0.05
16,11310392,[{'fl': 1}],1,1.0,fl,1.0,20.0,0.05
16,11310495,"[{'W!b{rWy{l}}': 1, 'W!b{Ix=3{l}/{r}}': 1}]",2,2.0,W!b{rWy{l}},2.0,20.0,0.1
17,94,"[{'W!b{}': 3, nan: 28, 'W!d{llrff}': 1, 'W{lrf}': 1, 'llllrrrff': 1, 'W{l}W{r}W{}': 1, 'Wg{s}': 1, 'W!d{l}': 2, 'W{l}': 3, 'W!d{ll}': 1, 'W{}': 2, 'W!d{lr}': 1, 'Wd{l}rrrff': 1, 'W!b{W{}}': 1, 'Wd{l}rWg{r}fW!b{}': 1, 'W!k{}W!k{r}ffl': 1, 'W!d{llll}': 1, 'W!b{}W!y{r}ff': 1, 'W!b{}llll': 1}]",52,19.0,?,52.0,130.0,0.4
17,9483,"[{'W!d{l}lWk{r}': 1, 'lW!d{l}': 1}]",2,2.0,W!d{l}lWk{r},2.0,130.0,0.015384615384615385
17,9483726150,"[{'Wd{l}': 3, 'W!k{lW{}}': 1, 'Wd{l}Wb{r}W{}': 1, 'W!k{l}W!b{}': 1, 'Wd{l}W!k{r}': 1, 'Wd{llllW!y{}}': 1, 'Wd{l}Wb{r}Wy{f}': 1}]",9,7.0,Wd{l},9.0,130.0,0.06923076923076923
17,94837261504-1,"[{'W!b{llll}': 1, 'W!b{l}r': 3, 'Wd{l}lWb{r}f': 1, 'W!y{l}rrW!y{f}': 1, 'W!g{l}': 1, 'llllW!b{l}': 1, 'W!g{l}W!k{r}f': 1, 'W!y{l}rrrf': 1, 'W!b{l}': 2, 'Wd{l}W!y{l}ff': 1, 'W!y{l}W!y{r}ff': 1}]",14,11.0,W!b{l}r,14.0,130.0,0.1076923076923077
17,948372615040,[{'W!k{l}W!k{r}f': 1}],1,1.0,W!k{l}W!k{r}f,1.0,130.0,0.007692307692307693
17,94837261504030,[{'Wd{l}Wy{r}ff': 2}],2,1.0,Wd{l}Wy{r}ff,2.0,130.0,0.015384615384615385
17,94837261504030201000,"[{'Wd{l}Wg{r}W!b{f}': 1, 'W!k{l}W!k{r}W!b{f}': 1}]",2,2.0,Wd{l}Wg{r}W!b{f},2.0,130.0,0.015384615384615385
17,948372615041,"[{'W!k{llllr}': 1, 'Wd{l}r': 1}]",2,2.0,W!k{llllr},2.0,130.0,0.015384615384615385
17,94837261504131,[{'Wd{l}rfWy{r}': 1}],1,1.0,Wd{l}rfWy{r},1.0,130.0,0.007692307692307693
17,94837261504131211202-12,[{'Wd{l}W!y{rff}': 1}],1,1.0,Wd{l}W!y{rff},1.0,130.0,0.007692307692307693
17,94837261504131221203-13,[{'Wd{l}W!y{rf}': 1}],1,1.0,Wd{l}W!y{rf},1.0,130.0,0.007692307692307693
17,94837261504132,"[{'llllrr': 3, 'Wd{l}rr': 1, 'Wd{l}rrWy{f}': 1}]",5,3.0,llllrr,5.0,130.0,0.038461538461538464
17,9483726150413221100-1,[{'Wd{l}rrW!b{l}': 1}],1,1.0,Wd{l}rrW!b{l},1.0,130.0,0.007692307692307693
17,9483726150413223,"[{'Wd{l}Wk{r}': 2, 'Wd{l}Wk{r}W!y{f}': 1, 'Wd{l}Wy{f}Wk{r}': 1, 'W!k{l}Wk{r}Wg{f}': 1}]",5,4.0,Wd{l}Wk{r},5.0,130.0,0.038461538461538464
17,948372615041322313,"[{'Wd{l}W!y{r}Wy{f}': 2, 'Wd{l}rrrs': 1, 'Wd{l}Wk{r}Wy{f}': 1}]",4,3.0,Wd{l}W!y{r}Wy{f},4.0,130.0,0.03076923076923077
17,94837261504132231405,"[{'W!b{Wd{l}r}': 1, 'Wd{l}W!g{rrr}': 1, 'Wd{l}W!g{r}': 3, 'Wd{l}W!g{r}r': 1, 'Wd{l}W!b{r}W{l}': 1, 'Wd{l}W!b{r}Wy{f}': 2, 'W!k{l}W!g{r}': 1}]",10,7.0,Wd{l}W!g{r},10.0,130.0,0.07692307692307693
17,94837261514031,[{'lllflr': 1}],1,1.0,lllflr,1.0,130.0,0.007692307692307693
17,948372615141,[{'lllfs': 1}],1,1.0,lllfs,1.0,130.0,0.007692307692307693
17,948372615241302-1,[{'W!y{lllr}': 1}],1,1.0,W!y{lllr},1.0,130.0,0.007692307692307693
17,94837261524334,[{'lllrrr': 1}],1,1.0,lllrrr,1.0,130.0,0.007692307692307693
17,948374,[{'Wd{lr}': 1}],1,1.0,Wd{lr},1.0,130.0,0.007692307692307693
17,9483746352413221100-1,[{'W!y{lrll}': 1}],1,1.0,W!y{lrll},1.0,130.0,0.007692307692307693
17,94837463544334231403-14,"[{'W!b{lr}': 2, 'W!y{lr}': 1}]",3,2.0,W!b{lr},3.0,130.0,0.023076923076923078
17,9484,"[{'s': 1, 'W{l}s': 1}]",2,2.0,s,2.0,130.0,0.015384615384615385
17,948475,[{'frWk{}': 1}],1,1.0,frWk{},1.0,130.0,0.007692307692307693
17,9485,"[{'W!d{l}rrrf': 1, 'r': 1, 'W!d{l}r': 2, 'W!d{l}W!b{r}W!y{f}': 1, 'W!g{r}W!g{l}f': 1}]",6,5.0,W!d{l}r,6.0,130.0,0.046153846153846156
18,115,"[{'R2{}': 11, nan: 52, 'sR3{f}rlrR4{f}': 2, 'sR3{f}rlrR5{f}': 1, 'sR2{f}R2{rl}R2{ff}': 1, 'rfflrsssssf': 1, 'R4{sl}slfR6{}l': 1, 'R4{}': 1, 'sR4{f}R5{l}flrR4{f}': 1, 'sR5{l}R5{f}frlR4{f}': 1}]",72,10.0,?,72.0,271.0,0.2656826568265683
18,11510493827160504030201076,[{'R5{l}R5{f}': 2}],2,1.0,R5{l}R5{f},2.0,271.0,0.007380073800738007
18,115104938271605040302010766554433221,[{'R5{l}R5{f}R5{l}': 1}],1,1.0,R5{l}R5{f}R5{l},1.0,271.0,0.0036900369003690036
